,area_type,availability,location,society,total_sqft,bath,balcony,price,bedrooms
2663,Built-up  Area,Ready To Move,Green Glen Layout,,1250.0,2.0,0.0,75.0,2.0
2664,Super built-up  Area,Ready To Move,Green Glen Layout,SoosePr,1715.0,3.0,3.0,112.0,3.0
2665,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1470.0,2.0,2.0,82.0,3.0
2666,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,125.0,3.0
2667,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,104.0,3.0
2668,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,115.0,3.0
2669,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,110.0,3.0
2670,Super built-up  Area,Ready To Move,Gubbalala,,1650.0,3.0,2.0,71.0,3.0
2671,Built-up  Area,Ready To Move,Gubbalala,MauilTr,2570.0,4.0,2.0,141.0,5.0
2672,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1205.0,2.0,2.0,70.0,2.0
2673,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1435.0,2.0,2.0,80.0,3.0
2674,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1475.0,2.0,2.0,80.0,2.0
2676,Super built-up  Area,Ready To Move,Gubbalala,,1100.0,2.0,2.0,49.5,2.0
2677,Super built-up  Area,Ready To Move,Gubbalala,,1060.0,2.0,1.0,46.0,2.0
2678,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,2000.0,3.0,3.0,125.0,3.0
2680,Built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,130.0,3.0
2681,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1285.0,2.0,2.0,90.0,2.0
2682,Super built-up  Area,18-Apr,Gunjur,BMineis,1140.0,2.0,3.0,43.0,2.0
2683,Super built-up  Area,Ready To Move,Gunjur,,1356.0,2.0,3.0,66.0,3.0
2684,Built-up  Area,Ready To Move,Gunjur,NDrelau,1600.0,3.0,3.0,75.0,3.0
2685,Plot  Area,Ready To Move,Gunjur,,2000.0,3.0,0.0,95.0,4.0
2686,Super built-up  Area,18-Aug,Gunjur,BMineis,1140.0,2.0,2.0,49.11,2.0
2687,Super built-up  Area,Ready To Move,Gunjur,Puide P,1195.0,2.0,2.0,44.0,2.0
2688,Built-up  Area,Ready To Move,Gunjur,Puide P,1190.0,2.0,2.0,40.0,2.0
2689,Built-up  Area,18-Mar,Gunjur,Paestol,1457.0,2.0,3.0,60.0,2.0
2690,Super built-up  Area,Ready To Move,Gunjur,Akncyes,1080.0,2.0,2.0,41.0,2.0
2693,Super built-up  Area,Ready To Move,Gunjur,Akncyes,1175.0,2.0,2.0,43.48,2.0
2694,Super built-up  Area,Ready To Move,Gunjur,DSerste,1362.0,3.0,2.0,62.63,3.0
2695,Super built-up  Area,Ready To Move,Gunjur,MyhtsHe,1071.0,2.0,1.0,51.0,2.0
2696,Super built-up  Area,Ready To Move,Gunjur,DSoodSh,1063.0,2.0,2.0,40.0,2.0
2697,Super built-up  Area,18-Aug,Gunjur,BMineis,1235.0,2.0,2.0,52.76,2.0
2698,Super built-up  Area,Ready To Move,Gunjur,DSerste,1362.0,3.0,1.0,62.63,3.0
2699,Super built-up  Area,Ready To Move,Gunjur,DSerste,1362.0,3.0,1.0,62.63,3.0
2700,Super built-up  Area,Ready To Move,Gunjur,MyhtsHe,1588.0,2.0,3.0,90.0,3.0
2701,Super built-up  Area,18-May,Gunjur,BMineis,1235.0,2.0,2.0,44.5,2.0
2702,Super built-up  Area,Ready To Move,Gunjur,Paestol,1457.0,2.0,3.0,60.0,2.0
2703,Super built-up  Area,Ready To Move,HAL 2nd Stage,MamalPr,1490.0,2.0,2.0,300.0,3.0
2704,Plot  Area,17-Dec,HAL 2nd Stage,,600.0,3.0,2.0,145.0,2.0
2705,Plot  Area,Ready To Move,HAL 2nd Stage,,2700.0,3.0,0.0,500.0,3.0
2706,Plot  Area,Ready To Move,HAL 2nd Stage,,1000.0,7.0,3.0,250.0,7.0
2707,Plot  Area,Ready To Move,HAL 2nd Stage,,2280.0,4.0,2.0,615.0,4.0
2708,Plot  Area,Ready To Move,HAL 2nd Stage,,1000.0,7.0,3.0,260.0,8.0
2709,Plot  Area,Ready To Move,HAL 2nd Stage,,2040.0,4.0,1.0,500.0,5.0
2710,Plot  Area,Ready To Move,HBR Layout,,675.0,3.0,1.0,59.0,4.0
2711,Built-up  Area,Ready To Move,HBR Layout,Peentn ,2800.0,2.0,0.0,200.0,3.0
2712,Super built-up  Area,Ready To Move,HBR Layout,Gats He,1722.0,3.0,2.0,95.0,3.0
2713,Plot  Area,Ready To Move,HBR Layout,,1200.0,4.0,0.0,120.0,4.0
2714,Super built-up  Area,Ready To Move,HBR Layout,Flretes,1200.0,2.0,2.0,60.0,2.0
2715,Super built-up  Area,Ready To Move,HBR Layout,Feissx ,1004.0,2.0,1.0,49.0,2.0
2716,Built-up  Area,Ready To Move,HBR Layout,Giersin,1783.0,3.0,2.0,125.0,3.0
2717,Super built-up  Area,Ready To Move,HBR Layout,HMtesle,1656.0,3.0,2.0,90.0,3.0
2718,Super built-up  Area,Ready To Move,HBR Layout,Visom B,1089.0,2.0,1.0,60.0,2.0
2719,Plot  Area,16-Mar,HBR Layout,,2400.0,5.0,0.0,320.0,4.0
2720,Super built-up  Area,Ready To Move,HBR Layout,Visom B,1700.0,3.0,1.0,110.0,3.0
2721,Built-up  Area,Ready To Move,HBR Layout,,1198.0,2.0,1.0,65.0,2.0
2722,Plot  Area,Ready To Move,HBR Layout,,1200.0,4.0,2.0,115.0,4.0
2723,Plot  Area,Ready To Move,HBR Layout,,1800.0,2.0,1.0,230.0,3.0
2724,Built-up  Area,Ready To Move,HBR Layout,,1200.0,2.0,0.0,120.0,2.0
2725,Super built-up  Area,Ready To Move,HBR Layout,Giersin,1832.0,3.0,2.0,160.0,3.0
2726,Plot  Area,Ready To Move,HRBR Layout,,2000.0,4.0,1.0,300.0,4.0
2727,Built-up  Area,Ready To Move,HRBR Layout,Eline P,1374.0,2.0,2.0,95.0,2.0
2728,Built-up  Area,Ready To Move,HRBR Layout,Vaaveeh,1440.0,2.0,2.0,98.0,2.0
2730,Super built-up  Area,Ready To Move,HRBR Layout,VDenaWa,2800.0,3.0,2.0,250.0,3.0
2731,Super built-up  Area,Ready To Move,HRBR Layout,Srayatr,1210.0,2.0,1.0,75.0,2.0
2732,Plot  Area,Ready To Move,HRBR Layout,,1200.0,2.0,1.0,170.0,4.0
2733,Super built-up  Area,Ready To Move,HRBR Layout,Srayatr,1265.0,2.0,1.0,78.0,2.0
2734,Plot  Area,Ready To Move,HRBR Layout,,1200.0,3.0,1.0,180.0,4.0
2735,Super built-up  Area,Ready To Move,HRBR Layout,,1170.0,2.0,2.0,75.0,2.0
2737,Built-up  Area,Ready To Move,HRBR Layout,Aples M,1900.0,3.0,1.0,90.0,4.0
2738,Super built-up  Area,Ready To Move,HRBR Layout,,1625.0,3.0,2.0,120.0,3.0
2739,Super built-up  Area,21-Dec,HRBR Layout,,1301.0,2.0,1.0,120.0,2.0
2740,Super built-up  Area,Ready To Move,HRBR Layout,,1145.0,2.0,2.0,68.5,2.0
2741,Built-up  Area,Ready To Move,HRBR Layout,Vaaveeh,1300.0,2.0,3.0,90.0,2.0
2743,Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1372.0,2.0,1.0,68.0,2.0
2745,Super built-up  Area,Ready To Move,HSR Layout,,1475.0,3.0,2.0,75.0,3.0
2746,Built-up  Area,Ready To Move,HSR Layout,,1467.0,2.0,1.0,55.0,2.0
2747,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2748,Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1372.0,2.0,1.0,61.0,2.0
2749,Super built-up  Area,Ready To Move,HSR Layout,Klort C,1750.0,3.0,2.0,95.0,3.0
2751,Super built-up  Area,Ready To Move,HSR Layout,,1027.0,2.0,2.0,44.0,2.0
2752,Super built-up  Area,Ready To Move,HSR Layout,Brstark,1650.0,3.0,2.0,110.0,3.0
2753,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2754,Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1372.0,2.0,1.0,61.0,2.0
2755,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2756,Super built-up  Area,Ready To Move,HSR Layout,,1185.0,2.0,2.0,60.0,2.0
2757,Super built-up  Area,Ready To Move,HSR Layout,SruntFa,1127.0,2.0,1.0,68.0,2.0
2758,Super built-up  Area,Ready To Move,HSR Layout,RotatHa,1600.0,2.0,2.0,115.0,3.0
2759,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1145.0,2.0,2.0,48.0,2.0
2760,Super built-up  Area,Ready To Move,HSR Layout,Ammesss,1009.0,2.0,2.0,56.0,2.0
2761,Built-up  Area,Ready To Move,HSR Layout,Rocid P,2792.0,4.0,1.0,220.0,4.0
2762,Super built-up  Area,Ready To Move,HSR Layout,AdadeEs,1300.0,2.0,2.0,98.0,2.0
2764,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2765,Built-up  Area,Ready To Move,HSR Layout,SruntFa,1126.0,2.0,1.0,69.0,2.0
2767,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2768,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1145.0,2.0,2.0,46.0,2.0
2769,Super built-up  Area,Ready To Move,HSR Layout,Siestr ,1142.0,2.0,2.0,65.0,2.0
2770,Built-up  Area,Ready To Move,HSR Layout,,3500.0,5.0,0.0,350.0,5.0
2771,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1145.0,2.0,2.0,46.0,2.0
2772,Super built-up  Area,Ready To Move,HSR Layout,PuontFa,2020.0,3.0,2.0,160.0,3.0
2773,Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1844.0,3.0,3.0,95.0,3.0
2774,Plot  Area,Ready To Move,HSR Layout,,2500.0,4.0,3.0,300.0,4.0
2775,Built-up  Area,Ready To Move,HSR Layout,VaiewV ,1203.0,2.0,2.0,72.0,2.0
2776,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2777,Built-up  Area,Ready To Move,HSR Layout,,4200.0,5.0,2.0,245.0,5.0
2778,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2779,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1145.0,2.0,2.0,46.0,2.0
2780,Super built-up  Area,Ready To Move,HSR Layout,Ammesss,1009.0,2.0,2.0,56.0,2.0
2781,Built-up  Area,Ready To Move,HSR Layout,NRosete,1145.0,2.0,2.0,46.0,2.0
2782,Super built-up  Area,Ready To Move,HSR Layout,Veyal V,1100.0,2.0,2.0,44.0,2.0
2783,Super built-up  Area,Ready To Move,HSR Layout,VaiewV ,1203.0,2.0,2.0,60.0,2.0
2784,Super built-up  Area,Ready To Move,HSR Layout,PuontFa,1590.0,2.0,2.0,135.0,3.0
2785,Built-up  Area,Ready To Move,HSR Layout,,1120.0,2.0,1.0,70.0,2.0
2786,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2787,Super built-up  Area,Ready To Move,HSR Layout,AaineSi,1289.0,2.0,2.0,70.0,2.0
2788,Super built-up  Area,Ready To Move,HSR Layout,SrisePo,1844.0,3.0,1.0,89.0,3.0
2789,Built-up  Area,Ready To Move,HSR Layout,VaiewV ,1203.0,2.0,2.0,60.0,2.0
2790,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0
2791,Super built-up  Area,18-Apr,Haralur Road,SNnia E,1240.0,2.0,1.0,70.0,2.0
2792,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2794,Plot  Area,Ready To Move,Haralur Road,,2650.0,4.0,2.0,198.0,4.0
2796,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2797,Built-up  Area,18-Mar,Haralur Road,SNnia E,3385.0,5.0,2.0,260.0,4.0
2798,Built-up  Area,Ready To Move,Haralur Road,,1202.0,2.0,1.0,53.0,2.0
2799,Super built-up  Area,Ready To Move,Haralur Road,Zostaa ,1056.0,2.0,1.0,61.0,2.0
2801,Super built-up  Area,18-Jul,Haralur Road,SNnia E,1810.0,3.0,2.0,100.0,3.0
2802,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1194.0,2.0,2.0,46.0,2.0
2804,Super built-up  Area,18-Jul,Haralur Road,SNnia E,1225.0,2.0,1.0,67.38,2.0
2805,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,1.0,46.0,2.0
2806,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2807,Super built-up  Area,Ready To Move,Haralur Road,DSimaUl,1920.0,3.0,1.0,115.0,3.0
2808,Super built-up  Area,18-May,Haralur Road,SNnia E,1875.0,3.0,2.0,110.0,3.0
2809,Built-up  Area,Ready To Move,Haralur Road,IDlleri,2750.0,4.0,0.0,220.0,4.0
2810,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2811,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,43.0,2.0
2812,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2813,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2814,Super built-up  Area,Ready To Move,Haralur Road,NDionas,2017.0,3.0,2.0,125.0,3.0
2815,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,43.0,2.0
2816,Super built-up  Area,18-Jul,Haralur Road,SNnia E,1875.0,3.0,3.0,110.0,3.0
2817,Super built-up  Area,Ready To Move,Haralur Road,,1092.0,2.0,2.0,44.0,2.0
2818,Super built-up  Area,Ready To Move,Haralur Road,NDionas,2475.0,4.0,2.0,130.0,3.0
2819,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,2.0,73.0,2.0
2820,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2821,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2822,Super built-up  Area,Ready To Move,Haralur Road,RBersll,1850.0,3.0,2.0,110.0,3.0
2823,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1225.0,2.0,1.0,67.38,2.0
2824,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2825,Super built-up  Area,Ready To Move,Haralur Road,SoronSa,3400.0,5.0,3.0,240.0,4.0
2826,Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,2.0,2.0,56.0,2.0
2827,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1230.0,2.0,1.0,78.0,2.0
2828,Built-up  Area,Ready To Move,Haralur Road,,1000.0,2.0,2.0,44.0,2.0
2829,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,2.0,79.0,2.0
2830,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1444.0,2.0,1.0,80.0,3.0
2831,Built-up  Area,Ready To Move,Haralur Road,,1088.0,2.0,1.0,68.0,2.0
2832,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,1.0,44.0,2.0
2834,Super built-up  Area,18-Mar,Haralur Road,SNnia E,1225.0,2.0,1.0,70.0,2.0
2836,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2837,Super built-up  Area,Ready To Move,Haralur Road,Ozensve,1000.0,2.0,1.0,78.0,2.0
2838,Super built-up  Area,18-Dec,Haralur Road,SNnia E,1830.0,3.0,2.0,101.0,3.0
2839,Super built-up  Area,Ready To Move,Haralur Road,SNnia E,1810.0,3.0,2.0,126.0,3.0
2840,Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,2.0,2.0,56.0,2.0
2841,Super built-up  Area,18-Mar,Haralur Road,SNnia E,1520.0,2.0,2.0,96.0,3.0
2842,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,2.0,75.0,2.0
2843,Super built-up  Area,Ready To Move,Haralur Road,NDionas,2017.0,2.0,2.0,125.0,3.0
2844,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2845,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2846,Super built-up  Area,18-Mar,Haralur Road,SNnia E,2805.0,5.0,3.0,160.0,4.0
2847,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2848,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2849,Built-up  Area,Ready To Move,Haralur Road,NDionas,2017.0,3.0,2.0,105.0,3.0
2850,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2851,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2852,Super built-up  Area,18-Mar,Haralur Road,SNnia E,1520.0,2.0,2.0,90.0,3.0
2853,Built-up  Area,Ready To Move,Haralur Road,,1300.0,2.0,2.0,60.0,2.0
2854,Super built-up  Area,18-Dec,Haralur Road,NDiteio,1985.0,3.0,2.0,130.0,3.0
2855,Super built-up  Area,Ready To Move,Haralur Road,Ozensve,1255.0,2.0,1.0,90.0,3.0
2856,Super built-up  Area,Ready To Move,Haralur Road,Zostaa ,1056.0,2.0,1.0,60.0,2.0
2857,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,1.0,42.0,2.0
2858,Super built-up  Area,Ready To Move,Haralur Road,,1245.0,2.0,3.0,62.0,2.0
2859,Built-up  Area,Ready To Move,Haralur Road,Siows M,1140.0,2.0,2.0,58.0,2.0
2860,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,42.0,2.0
2861,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,2.0,2.0,43.0,2.0
2862,Super built-up  Area,18-May,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2863,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2864,Super built-up  Area,Ready To Move,Haralur Road,Grterrr,1560.0,3.0,1.0,90.0,3.0
2865,Super built-up  Area,18-Apr,Haralur Road,SNnia E,1520.0,2.0,2.0,85.0,3.0
2866,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,45.0,2.0
2867,Super built-up  Area,18-Apr,Haralur Road,,1027.0,2.0,2.0,44.0,2.0
2868,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2869,Super built-up  Area,Ready To Move,Haralur Road,,1650.0,3.0,3.0,100.0,3.0
2870,Super built-up  Area,Ready To Move,Haralur Road,,1580.0,3.0,1.0,73.0,3.0
2871,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2872,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2874,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1520.0,2.0,2.0,96.0,3.0
2875,Super built-up  Area,18-Jul,Haralur Road,SNnia E,1510.0,3.0,2.0,83.05,3.0
2876,Built-up  Area,Ready To Move,Haralur Road,Zostaa ,1056.0,2.0,1.0,65.0,2.0
2877,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1810.0,3.0,2.0,100.0,3.0
2878,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2879,Super built-up  Area,18-Mar,Haralur Road,SNnia E,575.0,1.0,1.0,38.0,1.0
2880,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2881,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2882,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2883,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,43.0,2.0
2884,Super built-up  Area,18-Apr,Haralur Road,SNnia E,1850.0,3.0,2.0,120.0,3.0
2885,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2886,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,47.0,2.0
2887,Super built-up  Area,18-Aug,Haralur Road,SNnia E,560.0,1.0,1.0,45.0,1.0
2889,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,1.0,46.0,2.0
2890,Super built-up  Area,Ready To Move,Haralur Road,,1710.0,3.0,2.0,85.0,3.0
2891,Super built-up  Area,Ready To Move,Haralur Road,DSimaUl,1730.0,3.0,1.0,95.0,3.0
2892,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2893,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2894,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2895,Super built-up  Area,Ready To Move,Haralur Road,,1817.0,3.0,2.0,110.0,3.0
2896,Super built-up  Area,18-Mar,Haralur Road,SNnia E,1225.0,2.0,1.0,77.0,2.0
2897,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1285.0,2.0,1.0,78.0,2.0
2898,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1225.0,2.0,1.0,67.48,2.0
2899,Super built-up  Area,18-Dec,Haralur Road,SNnia E,1225.0,2.0,1.0,69.84,2.0
2900,Super built-up  Area,Ready To Move,Haralur Road,,1200.0,2.0,2.0,46.0,2.0
2901,Super built-up  Area,Ready To Move,Haralur Road,DSimaUl,1315.0,2.0,1.0,85.0,2.0
2902,Built-up  Area,Ready To Move,Haralur Road,,1976.0,3.0,2.0,92.0,3.0
2903,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,2.0,75.0,2.0
2904,Built-up  Area,Ready To Move,Haralur Road,Oznzaes,4694.0,5.0,2.0,375.0,4.0
2905,Super built-up  Area,Ready To Move,Haralur Road,,1309.0,2.0,1.0,82.0,2.0
2906,Super built-up  Area,Ready To Move,Haralur Road,,1027.0,1.0,2.0,44.0,2.0
2907,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2908,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2909,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,43.0,2.0
2910,Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,1.0,75.0,2.0
2911,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0
2913,Super built-up  Area,18-Apr,Haralur Road,SNnia E,1230.0,2.0,1.0,67.65,2.0
2914,Super built-up  Area,Ready To Move,Haralur Road,,1194.0,2.0,2.0,46.0,2.0
2915,Super built-up  Area,Ready To Move,Haralur Road,,1092.0,2.0,2.0,44.0,2.0
2917,Super built-up  Area,Ready To Move,Haralur Road,Ozensve,1255.0,3.0,1.0,90.0,3.0
2918,Super built-up  Area,Ready To Move,Haralur Road,DSimaUl,1735.0,3.0,2.0,97.0,3.0
2919,Super built-up  Area,18-Dec,Haralur Road,SNnia E,1810.0,3.0,2.0,97.83,3.0
2920,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1200.0,2.0,2.0,46.0,2.0
2921,Super built-up  Area,Ready To Move,Haralur Road,,1243.0,2.0,2.0,46.0,2.0
2922,Super built-up  Area,18-Feb,Haralur Road,SNnia E,1810.0,3.0,2.0,112.0,3.0
2923,Super built-up  Area,Ready To Move,Harlur,SrEndPo,1508.0,2.0,1.0,77.0,2.0
2924,Super built-up  Area,Ready To Move,Harlur,SosicCl,1752.12,3.0,2.0,135.0,3.0
2927,Super built-up  Area,Ready To Move,Harlur,SomonCi,1709.0,3.0,2.0,150.0,3.0
2928,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1174.0,2.0,1.0,69.0,2.0
2929,Super built-up  Area,Ready To Move,Harlur,,1033.0,2.0,2.0,49.0,2.0
2930,Built-up  Area,Ready To Move,Harlur,Prncyrn,1197.0,2.0,1.0,84.0,2.0
2931,Super built-up  Area,Ready To Move,Harlur,SosicCl,1757.0,3.0,2.0,132.0,3.0
2932,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1174.0,2.0,1.0,76.0,2.0
2933,Super built-up  Area,Ready To Move,Harlur,SosicCl,1754.0,3.0,2.0,125.0,3.0
2934,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1290.0,2.0,1.0,85.0,2.0
2935,Super built-up  Area,Ready To Move,Harlur,SosicCl,1752.12,3.0,2.0,116.0,3.0
2936,Super built-up  Area,Ready To Move,Harlur,,1754.0,3.0,2.0,135.0,3.0
2937,Super built-up  Area,Ready To Move,Harlur,SosicCl,1754.0,3.0,2.0,124.0,3.0
2938,Super built-up  Area,Ready To Move,Harlur,,1152.0,2.0,2.0,69.0,2.0
2939,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1290.0,2.0,1.0,87.0,2.0
2940,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1749.0,3.0,2.0,115.0,3.0
2941,Built-up  Area,18-Feb,Harlur,,3385.0,4.0,2.0,260.0,4.0
2942,Super built-up  Area,Ready To Move,Harlur,Prncyrn,2240.0,5.0,2.0,155.0,3.0
2943,Super built-up  Area,Ready To Move,Harlur,,1758.0,3.0,2.0,133.0,3.0
2945,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1197.0,2.0,1.0,79.0,2.0
2946,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1174.0,2.0,1.0,78.0,2.0
2949,Super built-up  Area,17-Jun,Harlur,Prncyrn,1197.0,2.0,1.0,79.0,2.0
2950,Super built-up  Area,Ready To Move,Harlur,,1749.0,3.0,2.0,112.0,3.0
2951,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1174.0,2.0,1.0,75.0,2.0
2952,Super built-up  Area,Ready To Move,Harlur,,1750.0,3.0,2.0,136.0,3.0
2953,Super built-up  Area,Ready To Move,Harlur,Shodsir,1620.0,3.0,1.0,110.0,3.0
2956,Super built-up  Area,Ready To Move,Harlur,SomonCi,1459.0,3.0,2.0,135.0,3.0
2957,Super built-up  Area,Ready To Move,Harlur,,1762.0,3.0,2.0,133.0,3.0
2958,Super built-up  Area,Ready To Move,Harlur,,1756.0,3.0,2.0,131.0,3.0
2959,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1755.0,3.0,2.0,130.0,3.0
2960,Super built-up  Area,Ready To Move,Harlur,,1864.0,3.0,1.0,140.0,3.0
2961,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1331.0,2.0,1.0,88.0,2.0
2962,Super built-up  Area,Ready To Move,Harlur,,1752.12,3.0,2.0,133.0,3.0
2963,Built-up  Area,Ready To Move,Harlur,Spiteid,1133.0,2.0,1.0,55.0,2.0
2964,Super built-up  Area,Ready To Move,Harlur,SosicCl,1756.0,3.0,2.0,128.0,3.0
2965,Super built-up  Area,Ready To Move,Harlur,,1749.0,3.0,2.0,120.0,3.0
